source_family,period,title,source_url,index_url,index_page
nbs_cpi,2022-06,2022年6月份居民消费价格同比上涨2.5%环比持平,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901504.html,https://www.stats.gov.cn/sj/zxfb/index_55.html,56
nbs_cpi,2022-07,2022年7月份居民消费价格同比上涨2.7%环比上涨0.5%,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901542.html,https://www.stats.gov.cn/sj/zxfb/index_54.html,55
nbs_cpi,2022-08,2022年8月份居民消费价格同比上涨2.5%环比下降0.1%,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901570.html,https://www.stats.gov.cn/sj/zxfb/index_52.html,53
nbs_cpi,2022-09,2022年9月份居民消费价格同比上涨2.8%环比上涨0.3%,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901613.html,https://www.stats.gov.cn/sj/zxfb/index_51.html,52
nbs_cpi,2022-10,2022年10月份居民消费价格同比上涨2.1%环比上涨0.1%,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901647.html,https://www.stats.gov.cn/sj/zxfb/index_50.html,51
nbs_cpi,2022-11,2022年11月份居民消费价格同比上涨1.6%环比下降0.2%,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901670.html,https://www.stats.gov.cn/sj/zxfb/index_49.html,50
nbs_cpi,2022-12,2022年12月份居民消费价格同比上涨1.8%环比持平,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901703.html,https://www.stats.gov.cn/sj/zxfb/index_48.html,49
nbs_cpi,2023-01,2023年1月份居民消费价格同比上涨2.1%环比上涨0.8%,https://www.stats.gov.cn/sj/zxfb/202302/t20230220_1913661.html,https://www.stats.gov.cn/sj/zxfb/index_47.html,48
nbs_cpi,2023-02,2023年2月份居民消费价格同比上涨1.0%环比下降0.5%,https://www.stats.gov.cn/sj/zxfb/202303/t20230309_1936952.html,https://www.stats.gov.cn/sj/zxfb/index_46.html,47
nbs_cpi,2023-03,2023年3月份居民消费价格同比上涨0.7%环比下降0.3%,https://www.stats.gov.cn/sj/zxfb/202304/t20230411_1938507.html,https://www.stats.gov.cn/sj/zxfb/index_45.html,46
nbs_cpi,2023-04,2023年4月份居民消费价格同比上涨0.1%环比下降0.1%,https://www.stats.gov.cn/sj/zxfb/202305/t20230511_1939347.html,https://www.stats.gov.cn/sj/zxfb/index_43.html,44
nbs_cpi,2023-05,2023年5月份居民消费价格同比上涨0.2%环比下降0.2%,https://www.stats.gov.cn/sj/zxfb/202306/t20230609_1940479.html,https://www.stats.gov.cn/sj/zxfb/index_43.html,44
nbs_cpi,2023-06,2023年6月份居民消费价格同比持平环比下降0.2%,https://www.stats.gov.cn/sj/zxfb/202307/t20230710_1941147.html,https://www.stats.gov.cn/sj/zxfb/index_42.html,43
nbs_cpi,2023-07,2023年7月份居民消费价格同比下降0.3%环比上涨0.2%,https://www.stats.gov.cn/sj/zxfb/202308/t20230809_1941863.html,https://www.stats.gov.cn/sj/zxfb/index_40.html,41
nbs_cpi,2023-08,2023年8月份居民消费价格同比上涨0.1%环比上涨0.3%,https://www.stats.gov.cn/sj/zxfb/202309/t20230909_1942695.html,https://www.stats.gov.cn/sj/zxfb/index_39.html,40
nbs_cpi,2023-09,2023年9月份居民消费价格同比持平环比上涨0.2%,https://www.stats.gov.cn/sj/zxfb/202310/t20231013_1943548.html,https://www.stats.gov.cn/sj/zxfb/index_38.html,39
nbs_cpi,2023-10,2023年10月份居民消费价格同比下降0.2%环比下降0.1%,https://www.stats.gov.cn/sj/zxfb/202311/t20231109_1944382.html,https://www.stats.gov.cn/sj/zxfb/index_37.html,38
nbs_cpi,2023-11,2023年11月份居民消费价格同比下降0.5%环比下降0.5%,https://www.stats.gov.cn/sj/zxfb/202312/t20231209_1945394.html,https://www.stats.gov.cn/sj/zxfb/index_36.html,37
nbs_cpi,2023-12,2023年12月份居民消费价格同比下降0.3%环比上涨0.1%,https://www.stats.gov.cn/sj/zxfb/202401/t20240112_1946465.html,https://www.stats.gov.cn/sj/zxfb/index_34.html,35
nbs_cpi,2024-01,2024年1月份居民消费价格环比上涨0.3%,https://www.stats.gov.cn/sj/zxfb/202402/t20240208_1947623.html,https://www.stats.gov.cn/sj/zxfb/index_33.html,34
nbs_cpi,2024-02,2024年2月份居民消费价格同比上涨0.7%环比上涨1.0%,https://www.stats.gov.cn/sj/zxfb/202403/t20240321_1948077.html,https://www.stats.gov.cn/sj/zxfb/index_32.html,33
nbs_cpi,2024-03,2024年3月份居民消费价格同比上涨0.1%,https://www.stats.gov.cn/sj/zxfb/202404/t20240411_1948448.html,https://www.stats.gov.cn/sj/zxfb/index_31.html,32
nbs_cpi,2024-04,2024年4月份居民消费价格同比上涨0.3%,https://www.stats.gov.cn/sj/zxfb/202405/t20240511_1950302.html,https://www.stats.gov.cn/sj/zxfb/index_30.html,31
nbs_cpi,2024-05,2024年5月份居民消费价格同比上涨0.3%,https://www.stats.gov.cn/sj/zxfb/202406/t20240612_1954519.html,https://www.stats.gov.cn/sj/zxfb/index_29.html,30
nbs_cpi,2024-06,2024年6月份居民消费价格同比上涨0.2%,https://www.stats.gov.cn/sj/zxfb/202407/t20240710_1955508.html,https://www.stats.gov.cn/sj/zxfb/index_28.html,29
nbs_cpi,2024-07,2024年7月份居民消费价格上涨0.5%,https://www.stats.gov.cn/sj/zxfb/202408/t20240809_1955948.html,https://www.stats.gov.cn/sj/zxfb/index_27.html,28
nbs_cpi,2024-08,2024年8月份居民消费价格同比上涨0.6%,https://www.stats.gov.cn/sj/zxfb/202409/t20240909_1956311.html,https://www.stats.gov.cn/sj/zxfb/index_26.html,27
nbs_cpi,2024-09,2024年9月份居民消费价格同比上涨0.4%,https://www.stats.gov.cn/sj/zxfb/202410/t20241013_1956899.html,https://www.stats.gov.cn/sj/zxfb/index_25.html,26
nbs_cpi,2024-10,2024年10月份居民消费价格同比上涨0.3%,https://www.stats.gov.cn/sj/zxfb/202411/t20241109_1957353.html,https://www.stats.gov.cn/sj/zxfb/index_23.html,24
nbs_cpi,2024-11,2024年11月份居民消费价格同比上涨0.2%,https://www.stats.gov.cn/sj/zxfb/202412/t20241209_1957689.html,https://www.stats.gov.cn/sj/zxfb/index_22.html,23
nbs_cpi,2024-12,2024年12月份居民消费价格同比上涨0.1%,https://www.stats.gov.cn/sj/zxfb/202501/t20250109_1958170.html,https://www.stats.gov.cn/sj/zxfb/index_20.html,21
nbs_cpi,2025-01,2025年1月份居民消费价格同比上涨0.5%,https://www.stats.gov.cn/sj/zxfb/202502/t20250209_1958646.html,https://www.stats.gov.cn/sj/zxfb/index_19.html,20
nbs_cpi,2025-02,2025年2月份居民消费价格同比下降0.7%,https://www.stats.gov.cn/sj/zxfb/202503/t20250309_1958915.html,https://www.stats.gov.cn/sj/zxfb/index_18.html,19
nbs_cpi,2025-03,2025年3月份居民消费价格同比下降0.1%,https://www.stats.gov.cn/sj/zxfb/202504/t20250410_1959261.html,https://www.stats.gov.cn/sj/zxfb/index_17.html,18
nbs_cpi,2025-04,2025年4月份居民消费价格同比下降0.1%,https://www.stats.gov.cn/sj/zxfb/202505/t20250510_1959771.html,https://www.stats.gov.cn/sj/zxfb/index_16.html,17
nbs_cpi,2025-05,2025年5月份居民消费价格同比下降0.1%,https://www.stats.gov.cn/sj/zxfb/202506/t20250609_1960094.html,https://www.stats.gov.cn/sj/zxfb/index_15.html,16
